seed,baseline,auroc,auprc,ece,aurc,n_test_samples,test_failure_prevalence
1,A_no_signal,0.5,0.3423333333333333,0.08833333333333332,0.2972788135406679,3000,0.3423333333333333
1,B_calibrated_confidence,0.6302219693219714,0.4310114584019864,0.05168003857050215,0.2621742973259186,3000,0.3423333333333333
1,C_failure_memory,0.516482247438768,0.3578754571267687,0.22996736316163524,0.3317860778862897,3000,0.3423333333333333
2,A_no_signal,0.5,0.24933333333333332,0.07466666666666663,0.2724397970541037,3000,0.24933333333333332
2,B_calibrated_confidence,0.6916757297138134,0.3757764195238528,0.05961690010713228,0.15330245875434892,3000,0.24933333333333332
2,C_failure_memory,0.5373257045430799,0.28298613735009476,0.24550058081554965,0.2379231319136811,3000,0.24933333333333332
3,A_no_signal,0.5,0.201,0.03499999999999992,0.20910059405558024,3000,0.201
3,B_calibrated_confidence,0.7208326328308396,0.33772057186105453,0.06224275210562001,0.10452609613453676,3000,0.201
3,C_failure_memory,0.47287827307628183,0.19664600069237526,0.29625830242788814,0.21781419339717367,3000,0.201
4,A_no_signal,0.5,0.333,0.10966666666666669,0.3721314159877383,3000,0.333
4,B_calibrated_confidence,0.6251138694916806,0.41912610940770495,0.15367246825884284,0.2549721283912256,3000,0.333
4,C_failure_memory,0.522601562081822,0.35800792248969326,0.21614055098486457,0.32711993587466137,3000,0.333
5,A_no_signal,0.5,0.22433333333333333,0.02233333333333326,0.20269788000971806,3000,0.22433333333333333
5,B_calibrated_confidence,0.6627502839909556,0.32065067888489984,0.04570863951955716,0.1443746704897104,3000,0.22433333333333333
5,C_failure_memory,0.5160008709694516,0.23537833539584924,0.262716010172196,0.21894628032333752,3000,0.22433333333333333
42,A_no_signal,0.5,0.3333333333333333,0.062000000000000055,0.2660078747151014,3000,0.3333333333333333
42,B_calibrated_confidence,0.62886525,0.41644049729754873,0.12062263260285798,0.24529795836334048,3000,0.3333333333333333
42,C_failure_memory,0.5193255,0.35193182746273355,0.1915798811822754,0.32642941855879776,3000,0.3333333333333333
