seed,representation,auroc,auprc,ece,aurc,n_test_samples
1,A_no_signal,0.5,0.3423333333333333,0.08833333333333332,0.2972788135406679,3000
1,B_calibrated_confidence,0.6302219693219714,0.4310114584019864,0.05168003857050215,0.2621742973259186,3000
1,control_phase2_failure_memory,0.516482247438768,0.3578754571267687,,0.3317860778862897,3000
1,candidate_raw_features,0.5031064452879205,0.34606973973005306,,0.340389252308594,3000
1,candidate_failure_history,0.5369533492805256,0.37446311256640524,0.1593640931873059,0.31411256384488423,3000
2,A_no_signal,0.5,0.24933333333333332,0.07466666666666663,0.2724397970541037,3000
2,B_calibrated_confidence,0.6916757297138134,0.3757764195238528,0.05961690010713228,0.15330245875434892,3000
2,control_phase2_failure_memory,0.5373257045430799,0.28298613735009476,,0.2379231319136811,3000
2,candidate_raw_features,0.5797710413084982,0.31617691771976597,,0.21173376252893933,3000
2,candidate_failure_history,0.6258239853344858,0.34072884276839077,0.07852408897301356,0.18043590115730412,3000
3,A_no_signal,0.5,0.201,0.03499999999999992,0.20910059405558024,3000
3,B_calibrated_confidence,0.7208326328308396,0.33772057186105453,0.06224275210562001,0.10452609613453676,3000
3,control_phase2_failure_memory,0.47287827307628183,0.19664600069237526,,0.21781419339717367,3000
3,candidate_raw_features,0.5066373043695442,0.2046847592938647,,0.20155140539880642,3000
3,candidate_failure_history,0.566841774993756,0.23672779170010688,0.09554036036122067,0.17209229761873562,3000
4,A_no_signal,0.5,0.333,0.10966666666666669,0.3721314159877383,3000
4,B_calibrated_confidence,0.6251138694916806,0.41912610940770495,0.15367246825884284,0.2549721283912256,3000
4,control_phase2_failure_memory,0.522601562081822,0.35800792248969326,,0.32711993587466137,3000
4,candidate_raw_features,0.5334169751960856,0.3689841721944942,,0.3148685196103723,3000
4,candidate_failure_history,0.598124361242802,0.4021643194791319,0.11758574658947984,0.2643122629607883,3000
5,A_no_signal,0.5,0.22433333333333333,0.02233333333333326,0.20269788000971806,3000
5,B_calibrated_confidence,0.6627502839909556,0.32065067888489984,0.04570863951955716,0.1443746704897104,3000
5,control_phase2_failure_memory,0.5160008709694516,0.23537833539584924,,0.21894628032333752,3000
5,candidate_raw_features,0.5251115690157088,0.24736469467349947,,0.2141277850810196,3000
5,candidate_failure_history,0.5977225809046972,0.2934111164015385,0.08597395706998603,0.17229354397616578,3000
42,A_no_signal,0.5,0.3333333333333333,0.062000000000000055,0.2660078747151014,3000
42,B_calibrated_confidence,0.62886525,0.41644049729754873,0.12062263260285798,0.24529795836334048,3000
42,control_phase2_failure_memory,0.5193255,0.35193182746273355,,0.32642941855879776,3000
42,candidate_raw_features,0.5368145,0.3696505818245952,,0.3102955917762827,3000
42,candidate_failure_history,0.559907,0.3783003868889406,0.12828318220765156,0.2931993265652627,3000
