seed,experiment,auroc,auprc,ece,aurc,n_test_samples
1,experiment_A_fixed_rule,0.4681160614745017,0.32237951187081093,,0.3698240542989199,3000
1,experiment_B_old_repr_supervised,0.6324835128173872,0.44443875628284774,0.08960873172587482,0.25459800133541377,3000
1,experiment_C_control,0.5369533492805256,0.37446311256640524,0.1593640931873059,0.31411256384488423,3000
2,experiment_A_fixed_rule,0.5485486460045023,0.26864274312031017,,0.2264618650048013,3000
2,experiment_B_old_repr_supervised,0.6875350253132094,0.3823345997214655,0.07795298892806297,0.15893040488530955,3000
2,experiment_C_control,0.6258239853344858,0.34072884276839077,0.07852408897301356,0.18043590115730412,3000
3,experiment_A_fixed_rule,0.4969769425712489,0.1946871323792212,,0.20410313764232615,3000
3,experiment_B_old_repr_supervised,0.7106430024816814,0.36723579425380626,0.04725622041525542,0.11144636303382434,3000
3,experiment_C_control,0.566841774993756,0.23672779170010688,0.09554036036122067,0.17209229761873562,3000
4,experiment_A_fixed_rule,0.5081803442623033,0.3313787732265404,,0.3331251168098161,3000
4,experiment_B_old_repr_supervised,0.6187546867207037,0.4189879162943472,0.12176928291505651,0.2600316897147596,3000
4,experiment_C_control,0.598124361242802,0.4021643194791319,0.11758574658947984,0.2643122629607883,3000
5,experiment_A_fixed_rule,0.5077764673504586,0.21908053103284358,,0.2192258155893075,3000
5,experiment_B_old_repr_supervised,0.6547468154381251,0.31707485319666623,0.022746504733450988,0.14615503044140815,3000
5,experiment_C_control,0.5977225809046972,0.2934111164015385,0.08597395706998603,0.17229354397616578,3000
42,experiment_A_fixed_rule,0.514159,0.3307210187924891,,0.32053659142533997,3000
42,experiment_B_old_repr_supervised,0.624891,0.4170684154246195,0.09216723353551066,0.2519689227965259,3000
42,experiment_C_control,0.559907,0.3783003868889406,0.12828318220765156,0.2931993265652627,3000
