seed,condition,baseline,auroc,auprc,ece,aurc,n_test_samples
1,clean,A_no_signal,0.5,0.3423333333333333,0.08833333333333332,0.2972788135406679,3000
1,clean,B_calibrated_confidence,0.6302219693219714,0.4310114584019864,0.05168003857050215,0.2621742973259186,3000
1,clean,C_original_failure_memory,0.516482247438768,0.3578754571267687,,0.3317860778862897,3000
1,clean,D_supervised_failure_risk,0.6324835128173872,0.44443875628284774,0.08960873172587482,0.25459800133541377,3000
1,feature_noise_mild,A_no_signal,0.5,0.3536666666666667,0.09966666666666668,0.3145898196291304,3000
1,feature_noise_mild,B_calibrated_confidence,0.5975835071470618,0.4130569092991314,0.06998711417636364,0.2817587509006362,3000
1,feature_noise_mild,C_original_failure_memory,0.5029419927972822,0.3534468796671547,,0.3493236292566992,3000
1,feature_noise_mild,D_supervised_failure_risk,0.6004129726692393,0.4220119594305249,0.10371116277050961,0.28450998102224273,3000
1,feature_noise_severe,A_no_signal,0.5,0.4236666666666667,0.1696666666666667,0.40351075766730815,3000
1,feature_noise_severe,B_calibrated_confidence,0.523384355095813,0.43312140067562294,0.15198708687222978,0.39733526579998796,3000
1,feature_noise_severe,C_original_failure_memory,0.5306242062215394,0.44723441736920916,,0.4019115018154044,3000
1,feature_noise_severe,D_supervised_failure_risk,0.5231227011424949,0.43435323418647886,0.17077493085350973,0.4044591339429615,3000
1,feature_dropout,A_no_signal,0.5,0.5056666666666667,0.2516666666666667,0.5040981615292354,3000
1,feature_dropout,B_calibrated_confidence,0.5363782281368585,0.532917100574198,0.18666100855247278,0.48146240099136467,3000
1,feature_dropout,C_original_failure_memory,0.492719731556631,0.5100424152554002,,0.5190058501673704,3000
1,feature_dropout,D_supervised_failure_risk,0.5359168355402093,0.5450035220810957,0.23203234705516632,0.4833288359794388,3000
2,clean,A_no_signal,0.5,0.24933333333333332,0.07466666666666663,0.2724397970541037,3000
2,clean,B_calibrated_confidence,0.6916757297138134,0.3757764195238528,0.05961690010713228,0.15330245875434892,3000
2,clean,C_original_failure_memory,0.5373257045430799,0.28298613735009476,,0.2379231319136811,3000
2,clean,D_supervised_failure_risk,0.6875350253132094,0.3823345997214655,0.07795298892806297,0.15893040488530955,3000
2,feature_noise_mild,A_no_signal,0.5,0.2753333333333333,0.10066666666666663,0.2960635046023265,3000
2,feature_noise_mild,B_calibrated_confidence,0.652114411791567,0.37390531556579065,0.10294689385763393,0.19457206986822434,3000
2,feature_noise_mild,C_original_failure_memory,0.5241234176298808,0.3107003483227394,,0.26796894652671094,3000
2,feature_noise_mild,D_supervised_failure_risk,0.6491220254337527,0.376612989254655,0.1135432281467925,0.19702139697459076,3000
2,feature_noise_severe,A_no_signal,0.5,0.374,0.1993333333333333,0.3752195047542937,3000
2,feature_noise_severe,B_calibrated_confidence,0.5524904656411891,0.4057178472283231,0.23373679772976796,0.3416757198528422,3000
2,feature_noise_severe,C_original_failure_memory,0.5080394245024954,0.3805113021314711,,0.36819258704499863,3000
2,feature_noise_severe,D_supervised_failure_risk,0.5491828641612517,0.4031201340610446,0.2320305658070324,0.34181689601564946,3000
2,feature_dropout,A_no_signal,0.5,0.38166666666666665,0.20699999999999996,0.4535984852388633,3000
2,feature_dropout,B_calibrated_confidence,0.5728028813898468,0.4303554949339021,0.12725995875952095,0.3295290354549766,3000
2,feature_dropout,C_original_failure_memory,0.5104994173660236,0.3869788123287766,,0.3663099407457401,3000
2,feature_dropout,D_supervised_failure_risk,0.5732058993161407,0.45544020351609205,0.1644196142275417,0.33571612356014346,3000
3,clean,A_no_signal,0.5,0.201,0.03499999999999992,0.20910059405558024,3000
3,clean,B_calibrated_confidence,0.7208326328308396,0.33772057186105453,0.06224275210562001,0.10452609613453676,3000
3,clean,C_original_failure_memory,0.47287827307628183,0.19664600069237526,,0.21781419339717367,3000
3,clean,D_supervised_failure_risk,0.7106430024816814,0.36723579425380626,0.04725622041525542,0.11144636303382434,3000
3,feature_noise_mild,A_no_signal,0.5,0.243,0.007000000000000062,0.25075709716568445,3000
3,feature_noise_mild,B_calibrated_confidence,0.6867106518100532,0.3687278237558595,0.1022234480635239,0.1500998924490859,3000
3,feature_noise_mild,C_original_failure_memory,0.4836348327060528,0.2436266451349117,,0.2547196450991058,3000
3,feature_noise_mild,D_supervised_failure_risk,0.6757137619378107,0.3705243880492597,0.03588090598488759,0.15450065661651127,3000
3,feature_noise_severe,A_no_signal,0.5,0.3433333333333333,0.10733333333333339,0.35459488207765066,3000
3,feature_noise_severe,B_calibrated_confidence,0.5711083731703711,0.3915882299361729,0.22240232459690815,0.2969105019959672,3000
3,feature_noise_severe,C_original_failure_memory,0.5332295106204721,0.36678997138660857,,0.32433163759426586,3000
3,feature_noise_severe,D_supervised_failure_risk,0.5555561579025183,0.38013118797844947,0.14261572588016352,0.3096488595382192,3000
3,feature_dropout,A_no_signal,0.5,0.296,0.06000000000000005,0.2896106683059184,3000
3,feature_dropout,B_calibrated_confidence,0.6431507857289107,0.3775359467754368,0.11813929405213465,0.20703039753956326,3000
3,feature_dropout,C_original_failure_memory,0.4561077412639913,0.26725160702628403,,0.3126850014179329,3000
3,feature_dropout,D_supervised_failure_risk,0.6364548141891891,0.3866013460156118,0.058892820029397316,0.21186139333361104,3000
4,clean,A_no_signal,0.5,0.333,0.10966666666666669,0.3721314159877383,3000
4,clean,B_calibrated_confidence,0.6251138694916806,0.41912610940770495,0.15367246825884284,0.2549721283912256,3000
4,clean,C_original_failure_memory,0.522601562081822,0.35800792248969326,,0.32711993587466137,3000
4,clean,D_supervised_failure_risk,0.6187546867207037,0.4189879162943472,0.12176928291505651,0.2600316897147596,3000
4,feature_noise_mild,A_no_signal,0.5,0.358,0.13466666666666666,0.38863809482149064,3000
4,feature_noise_mild,B_calibrated_confidence,0.6088682074754752,0.4368721659459007,0.18642251367545873,0.29256184897577275,3000
4,feature_noise_mild,C_original_failure_memory,0.5113244999816294,0.3730812501359489,,0.3585628034223847,3000
4,feature_noise_mild,D_supervised_failure_risk,0.6031696997472594,0.4518729545267288,0.15132896133818885,0.2969464290710829,3000
4,feature_noise_severe,A_no_signal,0.5,0.422,0.19866666666666666,0.45041615717609684,3000
4,feature_noise_severe,B_calibrated_confidence,0.5350475846876247,0.45310527614677637,0.29636089166970314,0.3979603594659404,3000
4,feature_noise_severe,C_original_failure_memory,0.5003607799406353,0.4211947873871822,,0.4197080049173092,3000
4,feature_noise_severe,D_supervised_failure_risk,0.5227350581529889,0.44295576895966815,0.2614618119023263,0.4089836969800307,3000
4,feature_dropout,A_no_signal,0.5,0.3466666666666667,0.12333333333333335,0.36762665308607956,3000
4,feature_dropout,B_calibrated_confidence,0.6236869603610675,0.42975533280359424,0.16249274607961445,0.26511277260238475,3000
4,feature_dropout,C_original_failure_memory,0.5272404827315542,0.3782222846334413,,0.33429262089246614,3000
4,feature_dropout,D_supervised_failure_risk,0.6291562009419153,0.4505560166523983,0.12674382299452405,0.26336014312635625,3000
5,clean,A_no_signal,0.5,0.22433333333333333,0.02233333333333326,0.20269788000971806,3000
5,clean,B_calibrated_confidence,0.6627502839909556,0.32065067888489984,0.04570863951955716,0.1443746704897104,3000
5,clean,C_original_failure_memory,0.5160008709694516,0.23537833539584924,,0.21894628032333752,3000
5,clean,D_supervised_failure_risk,0.6547468154381251,0.31707485319666623,0.022746504733450988,0.14615503044140815,3000
5,feature_noise_mild,A_no_signal,0.5,0.2663333333333333,0.01966666666666672,0.2369573133174649,3000
5,feature_noise_mild,B_calibrated_confidence,0.660212191636638,0.37310268326916785,0.0822852908656518,0.17761822076287614,3000
5,feature_noise_mild,C_original_failure_memory,0.5273686610762317,0.2909298522417215,,0.2560945908493163,3000
5,feature_noise_mild,D_supervised_failure_risk,0.6480579142829036,0.3594937754039814,0.03542450038939732,0.18405721820138474,3000
5,feature_noise_severe,A_no_signal,0.5,0.383,0.13633333333333342,0.37940845357938396,3000
5,feature_noise_severe,B_calibrated_confidence,0.5988288032860651,0.4532569529064665,0.22531843509891028,0.31732787702915616,3000
5,feature_noise_severe,C_original_failure_memory,0.5048667034355385,0.3914592834015256,,0.3790217916034683,3000
5,feature_noise_severe,D_supervised_failure_risk,0.5941388913573874,0.45412314255162256,0.16499200051483273,0.32137059116780486,3000
5,feature_dropout,A_no_signal,0.5,0.22633333333333333,0.02033333333333326,0.2349403526244002,3000
5,feature_dropout,B_calibrated_confidence,0.6652853913077689,0.3133800379517945,0.037609394134129386,0.13809791511302838,3000
5,feature_dropout,C_original_failure_memory,0.5214754952381375,0.23589498110126433,,0.21206346528714948,3000
5,feature_dropout,D_supervised_failure_risk,0.6613934753378736,0.31660052824180657,0.07284515711804251,0.13771756127263704,3000
42,clean,A_no_signal,0.5,0.3333333333333333,0.062000000000000055,0.2660078747151014,3000
42,clean,B_calibrated_confidence,0.62886525,0.41644049729754873,0.12062263260285798,0.24529795836334048,3000
42,clean,C_original_failure_memory,0.5193255,0.35193182746273355,,0.32642941855879776,3000
42,clean,D_supervised_failure_risk,0.624891,0.4170684154246195,0.09216723353551066,0.2519689227965259,3000
42,feature_noise_mild,A_no_signal,0.5,0.349,0.07766666666666672,0.28956289490508164,3000
42,feature_noise_mild,B_calibrated_confidence,0.6052261575877438,0.41128024143416153,0.15661417174631992,0.2752025040255853,3000
42,feature_noise_mild,C_original_failure_memory,0.5361501493306651,0.3913716644821476,,0.33139740578855786,3000
42,feature_noise_mild,D_supervised_failure_risk,0.6015074401246876,0.41155579454914754,0.12261018019674529,0.2809555700652735,3000
42,feature_noise_severe,A_no_signal,0.5,0.4036666666666667,0.1323333333333334,0.36803604456545636,3000
42,feature_noise_severe,B_calibrated_confidence,0.5578872446951944,0.4373404221602724,0.24239489555367782,0.3643599661929872,3000
42,feature_noise_severe,C_original_failure_memory,0.5139486697078531,0.4183402409660283,,0.39595678696375297,3000
42,feature_noise_severe,D_supervised_failure_risk,0.556485430968867,0.4422424450775084,0.20116229974313285,0.3677565385009983,3000
