dataset,file,field,type,source,provenance,status,derived_or_original,role,row_count,missing_pct_sample,sample_cardinality,join_keys,used_by_v1,previous_phase3_use
alibaba_gpu2020,instance_table.main_sample.csv,job_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,160,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,task_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,11,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,inst_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,994,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,worker_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,971,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,inst_id,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,160,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,status,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,outcome,60005,0.0,4,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,start_time,float64,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,timestamp,60005,10.6,267,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,end_time,float64,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,timestamp,60005,9.700000000000001,643,job_name,False,False
alibaba_gpu2020,instance_table.main_sample.csv,machine,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,60005,0.0,553,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,_source_row_index,int64,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,1055501,0.0,1000,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,job_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,identifier,1055501,0.0,1000,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,inst_id,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,identifier,1055501,0.0,1000,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,user,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,identifier,1055501,0.0,13,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,status,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,outcome,1055501,0.0,3,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,start_time,float64,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,timestamp,1055501,0.0,990,job_name,False,False
alibaba_gpu2020,job_table.clean.csv,end_time,float64,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,original_or_cleaned,timestamp,1055501,17.2,827,job_name,False,False
alibaba_gpu2020,machine_metric.main_sample.csv,worker_name,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,19841,0.0,1000,machine/worker_name or task/instance key as applicable,False,False
alibaba_gpu2020,machine_metric.main_sample.csv,machine,str,restored official Alibaba GPU2020 processed boundary,derived/processed; canonical pipeline,processed,derived,identifier,19841,0.0,57,machine/worker_name or task/instance key as applicable,False,False
