feature,canonical_temporal_smd,fold_1_smd,fold_2_smd,fold_3_smd,mean_abs_smd,signature_stability
job_start_time,-1.063702635034369,0.19482970795474799,0.49262166333828766,0.5481038775829451,0.57481447097758742,UNSTABLE
n_tasks,-0.46339456656395994,-0.069277050462267689,-0.39963228831866815,-0.065253978571649648,0.24938947097913636,ROBUST
n_distinct_task_names,-0.46339456656395994,-0.069277050462267689,-0.39963228831866815,-0.065253978571649648,0.24938947097913636,ROBUST
sum_inst_num,-0.21730756003054813,0.045855490331145284,-0.11629488320908411,0.030402446246819221,0.10246509495439918,UNSTABLE
mean_plan_cpu,-0.81630877638377952,0.17289793748946666,-0.43670730582689643,0.40768409127076566,0.45839952774272708,UNSTABLE
max_plan_cpu,-0.84213233706124013,0.16722936956153917,-0.45179147631422589,0.40023472349365757,0.46534697660766572,UNSTABLE
mean_plan_mem,0.11865804650211488,0.32852638710528742,0.086303939260997539,0.41326860460349191,0.23668924436797292,ROBUST
max_plan_mem,0.077146815008723724,0.33855735005312582,0.054804294546964089,0.41931207067053156,0.22245513256983629,ROBUST
mean_plan_gpu,-0.43015370675193093,0.17055550759358401,-0.17428918092278967,0.30318738346391982,0.26954644468305611,UNSTABLE
max_plan_gpu,-0.43015370675193093,0.17055550759358401,-0.17428918092278967,0.30318738346391982,0.26954644468305611,UNSTABLE
n_distinct_gpu_types,0.17553523931809353,0.1150386101909221,0.12932346349599638,0.17087271261310846,0.14769250640453013,UNSTABLE
n_instances,-0.23368792143743636,0.039369397759183848,-0.12525851590625464,0.015033781052504198,0.10333740403884475,UNSTABLE
n_distinct_machines,-0.23789625419985017,0.076883859364292595,-0.17143245613325739,0.031676888860620256,0.12947236463950509,UNSTABLE
mean_instance_start_time,-1.0639973747343823,0.19781092721828963,0.49274363627430573,0.54897450516692248,0.575881610848475,UNSTABLE
