population,feature,n_error,n_correct,error_missing_rate,correct_missing_rate,standardized_mean_difference,ks_statistic,univariate_error_auroc,feature_min,feature_max
random_stratified,job_start_time,271,1232,0,0,0.12556606425097994,0.096405209181961951,0.53212308908803374,960837,6449352
random_stratified,n_tasks,271,1232,0,0,-0.14618780178813934,0.03805650069487708,0.47976619782431595,1,3
random_stratified,n_distinct_task_names,271,1232,0,0,-0.14618780178813934,0.03805650069487708,0.47976619782431595,1,3
random_stratified,sum_inst_num,271,1232,0,0,-0.065590466710110137,0.024263789715819235,0.48953940432261467,1,160
random_stratified,mean_plan_cpu,271,1232,0,0,0.097823197448146354,0.066351775530742327,0.51324459673168166,1,9000
random_stratified,max_plan_cpu,271,1232,0,0,0.089878830294323392,0.066351775530742327,0.50041932237504194,1,9000
random_stratified,mean_plan_mem,271,1232,0,0,0.24988487980903284,0.078014927876551496,0.55646325537930708,0.09765625,300
random_stratified,max_plan_mem,271,1232,0,0,0.23759643309091319,0.077427876551492789,0.55444302007955137,0.09765625,300
random_stratified,mean_plan_gpu,271,1232,0.0036900369003690036,0.021915584415584416,0.16393793697248821,0.09797141539880129,0.52846780390348858,1,800
random_stratified,max_plan_gpu,271,1232,0.0036900369003690036,0.021915584415584416,0.16393793697248821,0.09797141539880129,0.52846780390348858,1,800
random_stratified,n_distinct_gpu_types,271,1232,0,0,0.15285221814552027,0.01822554751521541,0.50870842718167442,0,2
random_stratified,n_instances,271,1232,0,0,-0.065586881628268479,0.029801840226194469,0.49407707145253277,1,160
random_stratified,n_distinct_machines,271,1232,0,0,-0.068718082648665454,0.032455551828245555,0.50001797095893041,1,114
random_stratified,mean_instance_start_time,271,1232,0,0,0.12555094153666285,0.095593520870273632,0.53212009392821202,960840,6449355.2999999998
canonical_temporal,job_start_time,1086,1413,0,0,-1.063702635034369,0.57353970432409396,0.22220462712069849,5540091,6449460
canonical_temporal,n_tasks,1086,1413,0,0,-0.46339456656395994,0.14186930358588168,0.42898649608541578,1,3
canonical_temporal,n_distinct_task_names,1086,1413,0,0,-0.46339456656395994,0.14186930358588168,0.42898649608541578,1,3
canonical_temporal,sum_inst_num,1086,1413,0,0,-0.21730756003054813,0.18488737180013529,0.40797664152522156,1,502
canonical_temporal,mean_plan_cpu,1086,1413,0,0,-0.81630877638377952,0.67448475677704656,0.18092977729814833,4,9000
canonical_temporal,max_plan_cpu,1086,1413,0,0,-0.84213233706124013,0.67448475677704656,0.17857692122216878,4,9000
